启运港,目的港,航线ID,共舱船公司,正向路径,反向路径,中间时间
青岛,明日数航船期查询拉丁美洲墨西哥墨西哥墨西哥曼萨尼约,f21fdc240ce21352f38b08c5358695ee,MAERSK(AC2),上海(SHANGHAI)[4天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[4天] → 横滨(YOKOHAMA)[15天] → 墨西哥曼萨尼约(MANZANILLO)[3天] → 拉萨罗卡德纳斯(LAZARO CARDENAS),波索尔哈(POSORJA)[4天] → 巴尔博亚(BALBOA)[6天] → 墨西哥曼萨尼约(MANZANILLO)[2天] → 拉萨罗卡德纳斯(LAZARO CARDENAS)[23天] → 上海(SHANGHAI),6天
青岛,明日数航船期查询东南亚新马越泰马来西亚槟城,580f3ecbeb8e46e436d696fe7a4e490b,OOCL(CSS3),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 厦门(XIAMEN)[2天] → 广州南沙(NANSHA)[5天] → 新加坡(SINGAPORE)[1天] → 巴西古单(PASIR GUDANG),巴生西(PORT KELANG W)[2天] → 槟城(PENANG)[2天] → 巴生西(PORT KELANG W)[5天] → 广州南沙(NANSHA)[5天] → 青岛(QINGDAO),2天
青岛,明日数航船期查询东南亚新马越泰马来西亚槟城,9ee08c3a3090ace0a546057f7b8acc23,MSC(SAMBAR),大连(DALIAN)[2天] → 仁川(INCHON)[3天] → 天津(TIANJIN)[3天] → 青岛(QINGDAO)[4天] → 深圳大铲湾(DA CHAN BAY)[3天] → 胡志明同奈港(HOCHIMINH--DONG NAI PORT)[3天] → 林查班(LAEM CHABANG)[3天] → 新加坡(SINGAPORE),槟城(PENANG)[3天] → 巴西古单(PASIR GUDANG)[1天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[1天] → 新加坡(SINGAPORE)[3天] → 盖梅港(CAI MEP)[6天] → 釜山新港(BUSAN NEW PORT)[3天] → 大连(DALIAN),4天
青岛,明日数航船期查询东南亚新马越泰马来西亚槟城,d5768c3568605517287a17f0b5755f57,CNC(KCM2CNC) | COSCO(KCM2) | TSL(KCM2),天津(TIANJIN)[3天] → 釜山新港(BUSAN NEW PORT)[4天] → 青岛(QINGDAO)[2天] → 宁波(NINGBO)[1天] → 上海(SHANGHAI)[2天] → 汕头(SHANTOU)[1天] → 深圳蛇口(SHEKOU)[6天] → 巴生西(PORT KELANG W),槟城(PENANG)[2天] → 巴生西(PORT KELANG W)[2天] → 新加坡(SINGAPORE)[6天] → 广州南沙(NANSHA)[4天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[4天] → 天津(TIANJIN),2天
青岛,明日数航船期查询东南亚新马越泰马来西亚丹戎帕拉帕斯,6488d5ff54ad3e66fef4a2dfccd1ed5c,MAERSK(AE15) | HPL(SE3),青岛(QINGDAO)[5天] → 光阳(KWANGYANG)[2天] → 宁波(NINGBO)[9天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[31天] → 塞得东港(PORT SAID EAST),亚勒姆贾(IZMIT--YARIMCA)[3天] → 伊斯坦布尔(ISTANBUL)[8天] → 塞得东港(PORT SAID EAST)[32天] → 新加坡(SINGAPORE)[10天] → 青岛(QINGDAO),5天
青岛,明日数航船期查询东南亚新马越泰马来西亚丹戎帕拉帕斯,ca708bdf0b904c74aed0c09fab3a6ab7,MAERSK(AE5) | HPL(NE4),青岛(QINGDAO)[6天] → 深圳盐田(YANTIAN)[6天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[30天] → 伦敦口岸(LONDON GATEWAY)[3天] → 汉堡(HAMBURG)[2天] → 不来梅哈芬(BREMERHAVEN),奥尔胡斯(AARHUS)[3天] → 哥德堡(GOTHENBURG)[3天] → 鹿特丹(ROTTERDAM)[31天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[10天] → 青岛(QINGDAO),4天
青岛,明日数航船期查询东南亚新马越泰马来西亚巴生西,5102174692b08c47bbf71fa96252aa0c,IAL(NFS) | MARIANA(KCS) | 南星海运(NFS) | PIL(KCS) | KMTC(KCM4) | ONE(KC2),釜山(BUSAN)[2天] → 仁川(INCHON)[1天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[8天] → 新加坡(SINGAPORE),巴生西(PORT KELANG W)[4天] → 胡志明卡莱港(HOCHIMINH--CAT LAI)[3天] → 深圳蛇口(SHEKOU)[5天] → 釜山(BUSAN),2天
青岛,明日数航船期查询东南亚新马越泰马来西亚巴生西,3954527c3c850b4440cb9b28d16e872e,YML(PA1) | OOCL(CSS1) | COSCO(PA1),大连(DALIAN)[1天] → 天津(TIANJIN)[3天] → 青岛(QINGDAO)[3天] → 宁波(NINGBO),新加坡(SINGAPORE)[1天] → 巴生西(PORT KELANG W)[7天] → 广州南沙(NANSHA)[6天] → 大连(DALIAN),7天
青岛,明日数航船期查询欧洲欧基港荷兰鹿特丹,0ae59bc3810e57fafc7d05c85863d29e,ONE(FE3) | YML(FE3) | MSC(CONDOR SERVICE) | HMM(FE3),青岛(QINGDAO)[4天] → 釜山新港(BUSAN NEW PORT)[3天] → 上海(SHANGHAI)[3天] → 厦门(XIAMEN)[7天] → 新加坡(SINGAPORE)[27天] → 阿尔赫西拉斯(ALGECIRAS),鹿特丹(ROTTERDAM)[4天] → 汉堡(HAMBURG)[4天] → 南安普顿(SOUTHAMPTON)[37天] → 新加坡(SINGAPORE)[6天] → 深圳盐田(YANTIAN)[5天] → 青岛(QINGDAO),5天
青岛,明日数航船期查询欧洲欧基港荷兰鹿特丹,1694e8251685d34035c142643c70da5c,HMM(FE5) | YML(FE5) | MSC(LION) | ONE(FE5),青岛(QINGDAO)[3天] → 丽水(YEOSU)[3天] → 宁波(NINGBO)[4天] → 上海(SHANGHAI)[5天] → 深圳盐田(YANTIAN)[6天] → 新加坡(SINGAPORE)[28天] → 锡尼什港(SINES)[5天] → 勒阿弗尔(LE HAVRE),汉堡(HAMBURG)[4天] → 鹿特丹(ROTTERDAM)[5天] → 安特卫普(ANTWERP)[4天] → 勒阿弗尔(LE HAVRE)[32天] → 阿布扎比(ABU DHABI)[2天] → 杰贝阿里(JEBEL ALI)[12天] → 新加坡(SINGAPORE)[10天] → 青岛(QINGDAO),3天
