Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degC)
2022-12-22 15:12:50 - 2022-12-22 15:22:33,59.879,Swimming,0.3,582.788,,,0,0,1,0,0,139.676,139.676,6.594,122,52,-2.35
2022-12-22 15:26:50 - 2022-12-22 15:36:48,61.166,Swimming,0.3,597.509,,,0,0,1,0,0,141.121,141.121,6.644,122,52,-2.53
2022-12-25 14:52:05 - 2022-12-25 15:02:05,63.553,Swimming,0.3,599.599,,,0,1,0,0,0,125.309,125.309,6.774,127,52,3.85
2022-12-25 15:07:25 - 2022-12-25 15:17:16,59.021,Swimming,0.3,591.241,,,0,1,0,0,0,132.754,132.754,6.485,118,52,3.82
2022-12-25 15:23:52 - 2022-12-25 15:33:33,61.352,Swimming,0.3,580.961,,,0,1,0,0,0,134.339,134.339,6.768,123,50,3.69
2022-12-26 20:21:02 - 2022-12-26 20:30:44,59.968,Swimming,0.3,581.456,,,0,1,0,0,0,123.939,123.939,6.603,117,,
2022-12-26 20:35:18 - 2022-12-26 20:45:10,62.146,Swimming,0.3,592.44,,,0,1,0,0,0,129.743,129.743,6.72,123,60,0.38
2022-12-26 20:50:16 - 2022-12-26 20:59:59,64.358,Swimming,0.3,583.295,,,0,0,1,0,0,138.165,138.165,7.013,129,61,0.21
2023-01-19 10:08:04 - 2023-01-19 10:19:24,62.37,Swimming,0.3,680.32,,,0,1,0,0,0,131.773,131.773,5.932,114,58,3.4
2023-01-19 10:27:08 - 2023-01-19 10:38:39,62.251,Swimming,0.3,691.081,,,0,1,0,0,0,134.756,134.756,5.944,120,57,3.73
2023-01-21 15:44:01 - 2023-01-21 15:54:42,60.616,Swimming,0.3,640.274,,,0,1,0,0,0,133.42,133.42,6.184,116,62,4.98
2023-01-21 15:58:45 - 2023-01-21 16:09:43,64.554,Swimming,0.3,658.175,,,0,0,1,0,0,141.347,141.347,6.355,123,63,4.86
2023-01-23 15:42:59 - 2023-01-23 15:53:35,56.885,Swimming,0.3,636.78,,,0,1,0,0,0,123.505,123.505,5.902,109.9,62,-3.06
2023-01-23 15:57:41 - 2023-01-23 16:07:52,61.481,Swimming,0.3,611.314,,,0,0,1,0,0,141.479,141.479,6.527,123,62,-3.39
2023-01-25 20:02:12 - 2023-01-25 20:12:59,58.388,Swimming,0.3,647.033,,,0,0,1,0,0,136.976,136.976,5.948,115,,
2023-01-25 20:16:38 - 2023-01-25 20:28:12,63.407,Swimming,0.3,693.493,,,0,0,1,0,0,144.154,144.154,6.044,127,57,-1.68
2023-01-27 15:12:03 - 2023-01-27 15:19:01,18.342,Swimming,0.1,242.665,,,0.58,0.42,0,0,0,112.074,130,3.984,38,,
2023-01-27 16:02:20 - 2023-01-27 16:14:12,63.361,Swimming,0.3,666.763,,,0,1,0,0,0,132.555,132.555,5.966,125,43,-0.99
2023-01-29 13:47:12 - 2023-01-29 13:58:47,62.636,Swimming,0.3,670.398,,,0,1,0,0,0,131.564,131.564,5.924,122,,
2023-01-29 14:07:35 - 2023-01-29 14:18:02,65.608,Swimming,0.3,626.616,,,0,0,1,0,0,145.883,145.883,6.755,131.985,,
2023-01-30 14:33:28 - 2023-01-30 14:45:15,67.678,Swimming,0.3,707.617,,,0,1,0,0,0,132.425,132.425,6.269,130,61,6.77
2023-01-30 14:52:40 - 2023-01-30 15:03:29,66.167,Swimming,0.3,648.75,,,0,0,1,0,0,141.093,141.093,6.638,131,62,6.61
2023-02-01 15:33:37 - 2023-02-01 15:44:03,61.652,Swimming,0.3,625.765,,,0,0,1,0,0,135.578,135.578,6.409,121,,
2023-02-01 15:49:39 - 2023-02-01 16:00:03,65.554,Swimming,0.3,623.554,,,0,0,1,0,0,146.43,146.43,6.776,128.93,39,2.81
2023-02-01 16:05:42 - 2023-02-01 16:16:12,70.588,Swimming,0.3,629.949,,,0,0,1,0,0,145.525,145.525,7.096,136,39,2.59
2023-02-03 11:10:44 - 2023-02-03 11:20:49,60.042,Swimming,0.3,605.25,,,0,1,0,0,0,128.78,128.78,6.466,117,43,3.31
2023-02-03 11:25:57 - 2023-02-03 11:36:17,62.25,Swimming,0.3,620.241,,,0,0,1,0,0,137.414,137.414,6.503,121,42,3.52
2023-02-03 11:42:29 - 2023-02-03 11:53:10,64.386,Swimming,0.3,641.142,,,0,0,1,0,0,138.783,138.783,6.524,125,,
2023-02-06 15:14:45 - 2023-02-06 15:25:00,57.485,Swimming,0.3,614.924,,,0,1,0,0,0,125.31,125.31,6.171,113,74,7.89
2023-02-06 15:30:45 - 2023-02-06 15:41:06,61.269,Swimming,0.3,621.286,,,0,0,1,0,0,136.557,136.557,6.419,120,74,7.82
2023-02-06 15:47:30 - 2023-02-06 15:58:04,68.026,Swimming,0.3,634.397,,,0,0,1,0,0,140.869,140.869,6.871,134,74,7.72
2023-02-08 16:28:36 - 2023-02-08 16:38:45,61.106,Swimming,0.3,609.617,,,0,1,0,0,0,126.801,126.801,6.475,120,,
2023-02-08 16:45:38 - 2023-02-08 16:56:05,62.801,Swimming,0.3,627.81,,,0,0,1,0,0,137.561,137.561,6.485,124,54,4.96
2023-02-10 12:04:46 - 2023-02-10 12:14:59,61.401,Swimming,0.3,612.608,,,0,1,0,0,0,127.186,127.186,6.426,119,62,6
2023-02-10 12:20:03 - 2023-02-10 12:30:54,69.073,Swimming,0.3,651.092,,,0,0,1,0,0,136.586,136.586,6.729,132,62,6.25
2023-02-12 19:56:57 - 2023-02-12 20:04:49,43.857,Swimming,0.2,472.577,,,0,1,0,0,0,122.884,122.884,5.97,82,,
2023-02-12 20:08:05 - 2023-02-12 20:15:09,44.838,Swimming,0.2,424.012,,,0,1,0,0,0,130.462,130.462,6.691,85.953,87,3.97
2023-02-12 20:21:25 - 2023-02-12 20:32:19,66.938,Swimming,0.3,653.377,,,0,0,1,0,0,136.912,136.912,6.538,127.999,87,3.89
2023-02-15 06:34:51 - 2023-02-15 06:46:05,65.623,Swimming,0.3,673.852,,,0,1,0,0,0,122.877,122.877,6.238,123,,
2023-02-15 06:50:07 - 2023-02-15 07:00:53,65.55,Swimming,0.3,645.548,,,0,0,1,0,0,136.026,136.026,6.491,128.952,65,-3.18
2023-02-18 19:50:43 - 2023-02-18 20:01:29,61.634,Swimming,0.3,645.944,,,0,1,0,0,0,126.328,126.328,6.14,119,91,4.58
2023-02-18 20:06:14 - 2023-02-18 20:16:36,57.652,Swimming,0.3,621.361,,,0,1,0,0,0,133.501,133.501,6.017,110,91,4.55
2023-02-18 20:21:44 - 2023-02-18 20:32:05,60.091,Swimming,0.3,620.884,,,0,0,1,0,0,137.628,137.628,6.197,114,91,4.6
2023-02-19 15:00:07 - 2023-02-19 15:12:45,59.099,Swimming,0.3,671.013,,,0,1,0,0,0,124.887,124.887,5.365,110,32,7.96
2023-02-19 15:20:37 - 2023-02-19 15:33:31,70.865,Swimming,0.3,773.186,,,0,1,0,0,0,131.015,131.015,5.944,127,33,8.03
2023-02-20 15:31:12 - 2023-02-20 15:41:44,59.362,Swimming,0.3,632.146,,,0,1,0,0,0,119.129,119.129,6.06,113,,
2023-02-20 15:46:21 - 2023-02-20 15:57:08,64.115,Swimming,0.3,647.753,,,0,1,0,0,0,129.078,129.078,6.316,120,35,6.07
2023-02-22 14:23:09 - 2023-02-22 14:34:13,61.88,Swimming,0.3,663.71,,,0,1,0,0,0,128.585,128.585,6.022,117,59,4.18
2023-02-22 14:38:40 - 2023-02-22 14:49:29,61.822,Swimming,0.3,648.985,,,0,0,1,0,0,140.588,140.588,6.156,116,60,4.13
2023-02-24 14:17:30 - 2023-02-24 14:28:15,62.334,Swimming,0.3,644.487,,,0,1,0,0,0,130.195,130.195,6.235,116,,
2023-02-24 14:32:59 - 2023-02-24 14:43:42,62.556,Swimming,0.3,642.264,,,0,0,1,0,0,138.625,138.625,6.236,121,44,7.86
2023-02-26 20:38:47 - 2023-02-26 20:49:07,57.982,Swimming,0.3,619.832,,,0,1,0,0,0,119.736,119.736,6.059,109,63,3.19
2023-02-26 20:53:15 - 2023-02-26 21:03:44,60.93,Swimming,0.3,629.368,,,0,1,0,0,0,129.239,129.239,6.241,113,64,3.13
2023-02-28 06:29:55 - 2023-02-28 06:41:00,61.571,Swimming,0.3,664.73,,,0,1,0,0,0,117.823,117.823,5.99,115,90,3.83
2023-02-28 06:45:10 - 2023-02-28 06:56:03,62.01,Swimming,0.3,653.11,,,0,1,0,0,0,126.551,126.551,6.115,117,90,3.91
2023-03-01 19:50:31 - 2023-03-01 20:00:39,62.289,Swimming,0.3,608.578,,,0,1,0,0,0,128.156,128.156,6.473,116,,
2023-03-01 20:05:19 - 2023-03-01 20:15:49,62.129,Swimming,0.3,629.594,,,0,0,1,0,0,138.049,138.049,6.306,120,41,6.03
2023-03-01 20:18:11 - 2023-03-01 20:29:14,68.041,Swimming,0.3,663.247,,,0,0,1,0,0,141.876,141.876,6.565,128,,
2023-03-05 19:41:30 - 2023-03-05 19:52:28,61.771,Swimming,0.3,657.714,,,0,1,0,0,0,123.244,123.244,5.886,118,,
2023-03-05 19:56:59 - 2023-03-05 20:07:38,59.956,Swimming,0.3,639.07,,,0,1,0,0,0,133.313,133.313,6.051,113.893,,
2023-03-07 19:59:38 - 2023-03-07 20:10:03,58.761,Swimming,0.3,625.712,,,0,1,0,0,0,124.346,124.346,6.052,112,72,9.94
2023-03-07 20:15:11 - 2023-03-07 20:25:54,61.689,Swimming,0.3,643.081,,,0,1,0,0,0,131.16,131.16,6.227,117,,
2023-03-10 08:53:28 - 2023-03-10 09:04:08,60.796,Swimming,0.3,640.141,,,0,1,0,0,0,130.197,130.197,5.701,116,65,12.38
2023-03-10 09:08:19 - 2023-03-10 09:19:06,64.668,Swimming,0.3,647.362,,,0,0,1,0,0,135.096,135.096,6.378,126,64,12.75
2023-03-12 19:10:07 - 2023-03-12 19:22:48,65.201,Swimming,0.3,761.845,,,0,1,0,0,0,128.471,128.471,5.634,124,36,3.73
2023-03-12 19:29:21 - 2023-03-12 19:41:32,63.656,Swimming,0.3,730.451,,,0,0,1,0,0,136.519,136.519,5.736,115,,
