Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degC)
2024-09-04 09:12:59 - 2024-09-04 09:23:33,57.858,Swimming,0.300,633.550,,,0.000,0.000,1.000,0.000,0.000,137.925,137.925,6.217,117.000,72.000,26.600
2024-09-06 15:30:58 - 2024-09-06 15:41:01,53.121,Swimming,0.300,603.832,,,0.000,1.000,0.000,0.000,0.000,129.212,129.212,6.030,105.917,51.000,28.720
2024-09-06 15:43:43 - 2024-09-06 15:54:11,57.662,Swimming,0.300,628.402,,,0.000,0.000,1.000,0.000,0.000,135.123,135.123,6.226,114.000,52.000,28.550
2024-09-08 20:07:04 - 2024-09-08 20:17:14,55.382,Swimming,0.300,610.182,,,0.000,1.000,0.000,0.000,0.000,122.422,122.422,6.168,109.000,73.000,26.060
2024-09-08 20:19:28 - 2024-09-08 20:29:48,55.529,Swimming,0.300,620.026,,,0.000,1.000,0.000,0.000,0.000,129.302,129.302,6.077,110.990,73.000,26.040
2024-09-17 20:35:57 - 2024-09-17 20:46:16,57.523,Swimming,0.300,618.518,,,0.000,1.000,0.000,0.000,0.000,123.812,123.812,6.293,112.000,,
2024-09-17 20:50:19 - 2024-09-17 21:00:08,52.259,Swimming,0.300,588.446,,,0.000,0.000,1.000,0.000,0.000,138.585,138.585,6.032,105.000,88.000,27.810
2024-09-22 16:17:03 - 2024-09-22 16:26:57,59.148,Swimming,0.300,594.453,,,0.000,1.000,0.000,0.000,0.000,124.120,124.120,6.607,113.000,45.000,22.510
2024-09-22 16:29:12 - 2024-09-22 16:39:21,55.573,Swimming,0.300,609.447,,,0.000,1.000,0.000,0.000,0.000,134.931,134.931,6.223,113.000,45.000,22.360
2024-12-23 08:31:04 - 2024-12-23 08:41:29,57.383,Swimming,0.300,625.642,,,0.000,1.000,0.000,0.000,0.000,128.634,128.634,6.208,115.000,56.000,-0.464
2024-12-23 08:46:17 - 2024-12-23 08:56:31,56.102,Swimming,0.300,614.833,,,0.000,0.000,1.000,0.000,0.000,139.400,139.400,6.183,112.000,55.000,-0.132
2024-12-25 10:47:30 - 2024-12-25 10:57:34,56.867,Swimming,0.300,604.305,,,0.000,1.000,0.000,0.000,0.000,123.962,123.962,6.342,116.000,54.000,5.797
2024-12-25 10:59:22 - 2024-12-25 11:09:31,57.981,Swimming,0.300,608.240,,,0.000,0.000,1.000,0.000,0.000,137.794,137.794,6.431,118.000,52.000,5.981
2024-12-30 08:26:51 - 2024-12-30 08:37:15,53.176,Swimming,0.300,624.146,,,0.000,1.000,0.000,0.000,0.000,127.360,127.360,5.838,107.000,59.000,3.447
2024-12-30 08:39:35 - 2024-12-30 08:49:48,56.174,Swimming,0.300,613.604,,,0.000,0.000,1.000,0.000,0.000,136.851,136.851,6.213,112.000,59.000,3.445
2025-01-02 09:45:26 - 2025-01-02 09:55:40,55.309,Swimming,0.300,613.964,,,0.000,1.000,0.000,0.000,0.000,123.433,123.433,6.139,112.000,71.000,4.609
2025-01-03 15:15:53 - 2025-01-03 15:25:44,54.959,Swimming,0.300,591.408,,,0.000,1.000,0.000,0.000,0.000,130.187,130.187,6.282,111.000,35.000,6.121
2025-01-03 15:28:33 - 2025-01-03 15:38:24,58.248,Swimming,0.300,591.264,,,0.000,0.000,1.000,0.000,0.000,143.484,143.484,6.547,119.000,35.000,6.028
2025-01-05 20:36:42 - 2025-01-05 20:46:28,59.505,Swimming,0.300,586.331,,,0.000,1.000,0.000,0.000,0.000,128.159,128.159,6.755,117.000,62.000,3.334
2025-01-05 20:48:14 - 2025-01-05 20:57:43,56.012,Swimming,0.300,569.268,,,0.000,0.000,1.000,0.000,0.000,140.702,140.702,6.579,116.000,62.000,3.433
2025-01-05 21:00:51 - 2025-01-05 21:10:15,54.458,Swimming,0.300,564.933,,,0.000,0.000,1.000,0.000,0.000,147.012,147.012,6.475,109.000,63.000,3.269
2025-01-08 08:53:54 - 2025-01-08 09:03:19,57.233,Swimming,0.300,565.001,,,0.000,1.000,0.000,0.000,0.000,127.906,127.906,6.709,109.000,61.000,1.038
2025-01-08 09:04:57 - 2025-01-08 09:14:21,54.653,Swimming,0.300,564.798,,,0.000,0.000,1.000,0.000,0.000,140.549,140.549,6.501,111.000,61.000,1.183
2025-01-10 11:33:19 - 2025-01-10 11:42:54,57.931,Swimming,0.300,574.694,,,0.000,1.000,0.000,0.000,0.000,120.660,120.660,6.680,110.000,35.000,0.244
2025-01-10 11:44:53 - 2025-01-10 11:54:41,56.177,Swimming,0.300,587.708,,,0.000,0.000,1.000,0.000,0.000,135.598,135.598,6.394,112.000,35.000,0.385
2025-01-10 11:56:54 - 2025-01-10 12:06:47,54.619,Swimming,0.300,593.321,,,0.000,0.000,1.000,0.000,0.000,137.174,137.174,6.242,110.000,34.000,0.598
2025-01-13 11:36:03 - 2025-01-13 11:45:30,55.766,Swimming,0.300,567.379,,,0.000,1.000,0.000,0.000,0.000,124.977,124.977,6.552,112.000,56.000,6.001
2025-01-13 11:47:40 - 2025-01-13 11:57:36,56.585,Swimming,0.300,596.588,,,0.000,0.000,1.000,0.000,0.000,136.619,136.619,6.400,112.000,55.000,6.164
2025-01-13 12:00:02 - 2025-01-13 12:09:50,58.958,Swimming,0.300,588.016,,,0.000,0.000,1.000,0.000,0.000,141.114,141.114,6.686,116.000,55.000,6.150
2025-01-15 09:03:28 - 2025-01-15 09:12:56,59.196,Swimming,0.300,568.590,,,0.000,1.000,0.000,0.000,0.000,130.443,130.443,6.854,118.000,57.000,-2.048
2025-01-15 09:14:40 - 2025-01-15 09:24:33,56.524,Swimming,0.300,592.311,,,0.000,0.000,1.000,0.000,0.000,138.979,138.979,6.391,116.000,56.000,-1.863
2025-01-17 11:04:13 - 2025-01-17 11:14:10,61.424,Swimming,0.300,597.757,,,0.000,1.000,0.000,0.000,0.000,120.684,120.684,6.799,124.000,56.000,3.286
