启运港,目的港,航线ID,港口ID,开航日,航程,共舱船公司,船名,航次,船型,计划开航,实际离港,预计到港,启运港码头,目的港码头
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,BLANK SAILING,BLANK SAILING,,2026/1/19,,,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,SITC YUNCHENG,2601S,2433TEU,2026/1/26,,2026/2/6,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC SEOUL,2511S,2556TEU,2025/12/9,,2025/12/20,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,TS NANSHA,26001S,2693TEU,2026/1/12,,2026/1/23,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,WAN HAI 521,W037,4178TEU,2025/12/6,,2025/12/24,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,TIGER CHENNAI,2509W,3158TEU,2025/12/12,,2025/12/30,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,KMTC JEBEL ALI,2507W,4275TEU,2025/12/20,,2026/1/7,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,INTERASIA HORIZON,W052,4250TEU,2025/12/24,,2026/1/11,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,WAN HAI 522,W036,4255TEU,2025/12/29,,2026/1/16,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,WAN HAI 510,W194,4250TEU,2026/1/5,,2026/1/23,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,TIGER CHENNAI,2601W,3158TEU,2026/1/19,,2026/2/6,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,KMTC JEBEL ALI,2601W,4275TEU,2026/1/26,,2026/2/13,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1857,19,周一,18,BTL 孟虎航运（CCS） | IAL 运达航运（CI5） | KMTC（FME2） 印度直航,WAN HAI 521,W038,4178TEU,2026/1/12,,2026/1/30,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),2668,19,周二,9,KMTC（SPCIN） 加班船,KMTC CHENNAI,2508W,4275TEU,2025/12/24,,2026/1/2,QQCTU,
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VISTA,0261-005S,3000TEU,2025/12/3,,2025/12/15,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,SEASPAN NEW DELHI,0262-023S,4253TEU,2025/12/6,,2025/12/18,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VIVA,0263-014S,3000TEU,2025/12/14,,2025/12/26,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VERVE,0264-006S,3000TEU,2025/12/16,,2025/12/28,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VISTA,0265-006S,3000TEU,2025/12/29,,2026/1/10,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VOW,0266-014S,3110TEU,2026/1/6,,2026/1/18,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VIVA,0267-015S,3000TEU,2026/1/9,,2026/1/21,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),1846,19,周二,12,EMC（NCS） 马来西亚直航,EVER VERVE,0268-007S,3000TEU,2026/1/13,,2026/1/25,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 611,W081,5610TEU,2025/12/3,,2025/12/18,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 512,W118,4680TEU,2025/12/11,,2025/12/26,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 612,W085,5610TEU,2025/12/25,,2026/1/9,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,INTERASIA ENGAGE,W036,2782TEU,2026/1/1,,2026/1/16,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 611,W082,5610TEU,2026/1/10,,2026/1/25,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,待定,待定,,2026/1/15,,2026/1/30,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 511,W105,4532TEU,2025/12/18,,2026/1/2,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),910,19,周四,15,IAL 运达航运（ICI） | RCL（RNI6） | WHL（CI2） 印度直航,WAN HAI 512,W119,4680TEU,2026/1/22,,2026/2/6,QQCTN,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,GSL GRANIA,548W,7849TEU,2025/12/3,,2025/12/20,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,X-PRESS PHOENIX,25049W,7000TEU,2025/12/12,,2025/12/29,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,GSL CHRISTEN,550W,6178TEU,2025/12/13,,2025/12/30,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,X-PRESS BARDSEY,25052W,4957TEU,2025/12/27,,2026/1/13,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,X-PRESS CARINA,26001W,7000TEU,2026/1/2,,2026/1/19,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,X-PRESS CASSIOPEIA,26002W,7000TEU,2026/1/9,,2026/1/26,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,GSL GRANIA,603W,7849TEU,2026/1/17,,2026/2/3,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),377,19,周五,17,ITM（NWX） | MTT（NWX） | ONE（NPI） | 锦江航运（NWX） 印巴直航,SANTA CLARA MAERSK,551W,,2025/12/20,,2026/1/6,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),2512,19,周 六,10,MAERSK（SH3） 东南亚吉大直航,BLANK SAILING,BLANK SAILING,,2025/12/6,,,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),2512,19,周 六,10,MAERSK（SH3） 东南亚吉大直航,MCC YANGON,548C,2806TEU,2026/1/3,,2026/1/13,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),2512,19,周 六,10,MAERSK（SH3） 东南亚吉大直航,MAERSK DHAKA,553C,2806TEU,2026/1/17,,2026/1/27,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC SEOUL,2511S,2556TEU,2025/12/9,,2025/12/19,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC PENANG,2512S,2806TEU,2025/12/11,,2025/12/21,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,TS NANSHA,25012S,2693TEU,2025/12/18,,2025/12/28,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,SITC YUNCHENG,2512S,2433TEU,2025/12/25,,2026/1/4,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC PENANG,2513S,2806TEU,2026/1/5,,2026/1/15,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,TS NANSHA,26001S,2693TEU,2026/1/12,,2026/1/22,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,BLANK SAILING,BLANK SAILING,,2026/1/19,,,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,SITC YUNCHENG,2601S,2433TEU,2026/1/26,,2026/2/5,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),316,19,周一,10,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC SEOUL,2512S,2556TEU,2026/1/4,,2026/1/14,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),2297,19,周一,11,IAL 运达航运（NFS） | KMTC（KCM4） | ONE（KC2） | PIL（KCS） | 南星（NFS） 东南亚直航,KMTC DALIAN,2511S,2556TEU,2025/12/3,,2025/12/14,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),2297,19,周一,11,IAL 运达航运（NFS） | KMTC（KCM4） | ONE（KC2） | PIL（KCS） | 南星（NFS） 东南亚直航,NYK ISABEL,0177S,2664TEU,2025/12/7,,2025/12/18,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),2297,19,周一,11,IAL 运达航运（NFS） | KMTC（KCM4） | ONE（KC2） | PIL（KCS） | 南星（NFS） 东南亚直航,KOTA GAYA,0424S,2824TEU,2025/12/15,,2025/12/26,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG W(巴生西),2297,19,周一,11,IAL 运达航运（NFS） | KMTC（KCM4） | ONE（KC2） | PIL（KCS） | 南星（NFS） 东南亚直航,STARSHIP MERCURY,2512S,2556TEU,2025/12/20,,2025/12/31,QQCT,WESTPORT/PORT KLANG WESTPORT CONTAINER TERMINAL
