启运港,目的港,航线ID,港口ID,开航日,航程,共舱船公司,船名,航次,船型,计划开航,实际离港,预计到港,启运港码头,目的港码头
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM PRIDE,0PPMPE2MA,14846TEU,2025/12/3,,2026/1/2,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,COSCO HELLAS,115E,9469TEU,2025/12/5,,2026/1/4,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,YANTIAN I,109E,9469TEU,2025/12/17,,2026/1/16,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM BAIKAL,0PPZZE1MA,6014TEU,2025/12/21,,2026/1/20,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL ZEEBRUGGE,054E,9572TEU,2025/12/24,,2026/1/23,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM MAUI,0PPCXE1MA,15254TEU,2025/12/31,,2026/1/30,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM A. LINCOLN,0PPH9E1MA,14414TEU,2026/1/14,,2026/2/13,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM DIGNITY,0PPMKE2MA,14806TEU,2025/12/12,,2026/1/11,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM G. WASHINGTON,0PPCZE1MA,14414TEU,2026/1/7,,2026/2/6,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,AMBITION,548E,13100TEU,2025/12/3,,2026/1/6,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EDIRNE,549E,13092TEU,2025/12/6,,2026/1/9,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL PALOMAR,550E,12800TEU,2025/12/13,,2026/1/16,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EDINBURGH,551E,13092TEU,2025/12/20,,2026/1/23,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL ALTO,552E,12800TEU,2025/12/27,,2026/1/30,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EMERALD,601E,13092TEU,2026/1/3,,2026/2/6,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL BOSQUE,602E,12800TEU,2026/1/10,,2026/2/13,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM KIMBERLEY,0MEMJW1MA,15254TEU,2025/12/6,,2026/1/26,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM GREENLAND,0MEMNW1MA,15254TEU,2025/12/19,,2026/2/8,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM LAGUNA,0MEMPW1MA,15254TEU,2025/12/26,,2026/2/15,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM BIG SUR,0MEMRW1MA,15254TEU,2026/1/2,,2026/2/22,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM JULES VERNE,0MEMVW1MA,16022TEU,2026/1/16,,2026/3/8,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,CMA CGM PIANA,0MEMTW1MA,,2026/1/9,,2026/3/1,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),336,19,周三,51,CMA（MEX1） | COSCO（AEM2） | EMC（MEX1） | OOCL（WM2） 地中海直航,BLANK SAILING,BLANK SAILING,,2025/12/10,,,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,39,泰赢（PAX） 地中海直航,PANDA 006,525W,6864TEU,2025/12/7,,2026/1/15,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,39,泰赢（PAX） 地中海直航,PANDA 007,526W,5782TEU,2025/12/21,,2026/1/29,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,39,泰赢（PAX） 地中海直航,PANDA 009,601W,5527TEU,2026/1/4,,2026/2/12,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,JASPER,6W,7000TEU,2025/12/3,,2026/1/15,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,ZIM RUBY,7W,7000TEU,2025/12/19,,2026/1/31,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,SHENZHEN,14W,8586TEU,2025/12/25,,2026/2/6,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,BLANK SAILING,BLANK SAILING,,2026/1/1,,,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,ANTWERP,79W,10062TEU,2026/1/15,,2026/2/27,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,SAPPHIRE,7W,8240TEU,2026/1/22,,2026/3/6,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC ISTANBUL,GJ548W,15908TEU,2025/12/8,,2026/2/3,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC DIANA,GJ549W,19472TEU,2025/12/12,,2026/2/7,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC RIFAYA,GJ551W,19472TEU,2025/12/18,,2026/2/13,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC INGY,GJ552W,19472TEU,2025/12/25,,2026/2/20,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC NICOLA MASTRO,GJ602W,24116TEU,2026/1/11,,2026/3/9,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC TESSA,GJ603W,24116TEU,2026/1/15,,2026/3/13,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),19,19,周四,57,MSC（JADE） 地中海直航,MSC AMELIA,GJ604W,23964TEU,2026/1/22,,2026/3/20,QQCT,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC PENANG,2512S,2806TEU,2025/12/11,,2025/12/22,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,TS NANSHA,25012S,2693TEU,2025/12/18,,2025/12/29,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,SITC YUNCHENG,2512S,2433TEU,2025/12/25,,2026/1/5,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC SEOUL,2512S,2556TEU,2026/1/4,,2026/1/15,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
QINGDAO(青岛),PORT KELANG N(巴生北),316,19,周一,11,CNC（KCM） | KMTC（KCM） | SITC（KCM） | TSL（KCM） 新马直航,KMTC PENANG,2513S,2806TEU,2026/1/5,,2026/1/16,QQCT,NORTHPORT/PORT KLANG NORTHPORT CONTAINER TERMINAL
