启运港,目的港,航线ID,港口ID,开航日,航程,共舱船公司,船名,航次,船型,计划开航,实际离港,预计到港,启运港码头,目的港码头
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL LONG BEACH,061E,9572TEU,2025/11/6,2025/11/6,2025/12/6,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM LIBERTY,0PPMFE2MA,14846TEU,2025/11/11,2025/11/11,2025/12/11,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM DOLOMITES,0PPMRE2MA,6014TEU,2025/11/21,2025/11/21,2025/12/21,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,COSCO HELLAS,115E,9469TEU,2025/12/3,,2026/1/2,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM DIGNITY,0PPMKE2MA,14806TEU,2025/12/12,,2026/1/11,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,YANTIAN I,109E,9469TEU,2025/12/17,,2026/1/16,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL ZEEBRUGGE,054E,9572TEU,2025/12/24,,2026/1/23,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM MAUI,0PPCXE1MA,15254TEU,2026/1/2,,2026/2/1,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM G. WASHINGTON,0PPCZE1MA,14414TEU,2026/1/7,,2026/2/6,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM PRIDE,0PPMPE2MA,14846TEU,2025/11/30,,2025/12/30,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周日,33,MAERSK（AC2） 南美直航,BLANK SAILING,BLANK SAILING,,2025/11/2,,,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周日,33,MAERSK（AC2） 南美直航,MAERSK EL BANCO,545E,12800TEU,2025/11/10,2025/11/10,2025/12/13,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
