启运港,目的港,航线ID,港口ID,开航日,航程,共舱船公司,船名,航次,船型,计划开航,实际离港,预计到港,启运港码头,目的港码头
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM PRIDE,0PPMPE2MA,14846TEU,2025/12/3,2025/12/3,2026/1/2,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,COSCO HELLAS,115E,9469TEU,2025/12/10,2025/12/10,2026/1/9,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM DIGNITY,0PPMKE2MA,14806TEU,2025/12/17,,2026/1/16,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,YANTIAN I,109E,9469TEU,2025/12/19,,2026/1/18,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM BAIKAL,0PPZZE1MA,6014TEU,2025/12/21,,2026/1/20,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL ZEEBRUGGE,054E,9572TEU,2025/12/24,,2026/1/23,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM MAUI,0PPCXE1MA,15254TEU,2026/1/4,,2026/2/3,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM G. WASHINGTON,0PPCZE1MA,14414TEU,2026/1/14,,2026/2/13,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM TENERE,0PPH9E1MA,14812TEU,2026/1/21,,2026/2/20,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL LONG BEACH,062E,9572TEU,2026/1/28,,2026/2/27,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,BLANK SAILING,BLANK SAILING,,2025/11/2,,2026/1/2,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,AMBITION,548E,13100TEU,2025/12/3,2025/12/3,2026/1/6,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EDIRNE,549E,13092TEU,2025/12/9,2025/12/9,2026/1/12,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL PALOMAR,550E,12800TEU,2025/12/15,,2026/1/18,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EMERALD,601E,13092TEU,2026/1/3,,2026/2/6,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL BOSQUE,602E,12800TEU,2026/1/10,,2026/2/13,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EL BANCO,603E,12800TEU,2026/1/17,,2026/2/20,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周六,34,MAERSK（AC2） 南美直航,MAERSK EUREKA,604E,13092TEU,2026/1/24,,2026/2/27,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,36,泰赢（PAX） 地中海直航,PANDA 006,525W,6864TEU,2025/12/7,2025/12/7,2026/1/12,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,36,泰赢（PAX） 地中海直航,PANDA 007,526W,5782TEU,2025/12/21,,2026/1/26,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,36,泰赢（PAX） 地中海直航,PANDA 009,601W,5527TEU,2026/1/4,,2026/2/9,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2236,19,周四,36,泰赢（PAX） 地中海直航,PANDA 008,602W,6078TEU,2026/1/18,,2026/2/23,QQCTN,BEST/BARCELONA EUROPE SOUTH TERMINAL
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,BLANK SAILING,BLANK SAILING,,2025/11/13,,2025/12/24,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,JASPER,6W,7000TEU,2025/12/3,2025/12/3,2026/1/15,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,ZIM NORFOLK,20W,9115TEU,2025/12/13,2025/12/13,2026/1/25,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,ZIM RUBY,7W,7000TEU,2025/12/19,,2026/1/31,QQCTN,APM-BCN/APM TERMINALS BARCELONA
QINGDAO(青岛),BARCELONA(巴塞罗纳),2082,19,周四,43,ZIM（ZMP） 地中海直航,SHENZHEN,14W,8586TEU,2025/12/26,,2026/2/7,QQCTN,APM-BCN/APM TERMINALS BARCELONA
